b_Price.ID,b_Price.post.mean,b_Price.post.sd,b_Performance_10.ID,b_Performance_10.post.mean,b_Performance_10.post.sd,b_Performance_50.ID,b_Performance_50.post.mean,b_Performance_50.post.sd,b_Emissions_40.ID,b_Emissions_40.post.mean,b_Emissions_40.post.sd,b_Emissions_90.ID,b_Emissions_90.post.mean,b_Emissions_90.post.sd
1,-0.116938080729578,0.124930727421722,1,0.227377884608637,0.0373691363361096,1,1.87703424955581,0.0682754252696262,1,0.953791990777622,0.940664739696995,1,-0.405491421054976,2.96835902230858
2,-5.66013400316487,15.4425184936058,2,0.22727666678644,0.037717676240694,2,1.8769718336443,0.0689537202914071,2,0.999951362228891,0.893490348323042,2,1.28369693648828,2.41001792630444
3,-5.82698965667523,18.6635495935403,3,0.226949544102308,0.0377213882148364,3,1.87790539875428,0.0685358375428452,3,1.08514685246047,0.857407533722142,3,1.1430186427823,2.4706673763348
4,-0.454142128656956,0.371922108359766,4,0.226908056032717,0.0378657167131673,4,1.87646618902765,0.0677829027689673,4,0.868530659096488,0.951602069356279,4,1.17311109602498,2.83603629939969
5,-0.627150360119598,0.482747445283689,5,0.226991225448042,0.0378098928913137,5,1.8740346236324,0.0683673971469769,5,1.17256130335324,0.924737707425877,5,-0.830145617836382,2.77614771515288
7,-3.15657116494355,8.86729609810943,7,0.226896101007107,0.038069354773426,7,1.87732870827333,0.067535089826713,7,0.938343621561794,0.94633950756465,7,-2.63410141559167,2.62929322353814
8,-0.124625738604795,0.125222785714468,8,0.226814681438933,0.0374064804136192,8,1.87693903247525,0.0686937683948204,8,0.809321494545067,0.951707793050883,8,0.149649635238487,3.00547431044026
9,-0.201816289098053,0.191019227252507,9,0.226829705955788,0.0375986890081038,9,1.87791473558304,0.0675949039343773,9,0.858859187038452,0.94986653619844,9,-0.284068298898425,2.96903246188745
10,-0.211934234014845,0.272449824586889,10,0.226775119793138,0.0376969637579943,10,1.87668343152119,0.0685580055876011,10,0.815244713968138,0.950975785607014,10,-0.263972971766947,2.95166258359584
12,-0.649464207266716,1.08426257446808,12,0.22696815205711,0.0378661150909532,12,1.87697382936226,0.0680687305601812,12,0.774912932398774,0.94645336285345,12,-0.680162482556018,2.88371278533953
13,-1.74481831866804,2.88454668036088,13,0.226986729105319,0.037627976182539,13,1.87631519460818,0.0683174599271291,13,0.445224458564457,0.955110410380452,13,0.125421528641049,3.02747054778913
15,-0.593672770434024,0.509770887686919,15,0.226296355033748,0.0372980273325378,15,1.87713403629872,0.0677446790462713,15,0.725524353526204,0.886211817037631,15,1.68416292390833,2.54213859099025
16,-7.173474547498,14.5201990377947,16,0.226424722949192,0.0364137948598149,16,1.8774546595101,0.0692393573898264,16,1.21242616289458,0.822572663742139,16,2.5750501834847,2.06954938254774
19,-0.43943986350209,0.458964308144172,19,0.226637286397159,0.0376415681057374,19,1.87769751936753,0.0683040835807805,19,0.664021370485062,0.952382992325801,19,1.43021108491189,2.79777538662911
20,-5.62405569393303,9.9067396372412,20,0.226757848942975,0.0382911282643004,20,1.87638451719012,0.0666933872072035,20,0.950140004172804,0.935980157338783,20,1.62669816454694,2.26999736843463
23,-5.88551905750717,19.4168228880616,23,0.226867377664598,0.0376671369365936,23,1.87679248772417,0.068401045563653,23,0.868978260598583,0.956539016303159,23,0.144300485594527,2.98596147900004
24,-0.766110888811353,0.98213910327639,24,0.226441535567857,0.0382648739872322,24,1.87723437614298,0.0680384137407962,24,0.468507024234272,0.981930252050466,24,0.958091637146285,2.69935362774679
26,-0.584784576699173,0.719870944797435,26,0.227410691955062,0.0381549488214945,26,1.87863281458195,0.0692531017541183,26,0.873661590661481,0.958558408794119,26,-1.88039333266583,3.14572358631878
27,-0.184855391076192,0.228201455446764,27,0.226911227603702,0.0372798892793038,27,1.87724779210242,0.0677186937143032,27,0.866906795615265,0.952609887144422,27,-0.618738258328066,3.00944962828709
28,-0.253188654178357,0.182683011608375,28,0.226961634768222,0.0374643232708629,28,1.87579154314582,0.0684984972174175,28,0.748306904505887,0.961673157891373,28,2.15944056619699,2.83665388107905
30,-0.12509023164057,0.127351911394271,30,0.226887930414862,0.0375908050951582,30,1.87606493310484,0.067993581153958,30,0.82591881059653,0.954250531461551,30,0.135063018695736,2.93712839883307
31,-1.44928298583496,3.50906765343133,31,0.227145232942239,0.0361081654483023,31,1.87619467289881,0.0681112930734112,31,0.182755144614267,1.10465021347047,31,2.0219739667667,2.51710256783258
32,-2.13181842508996,9.13677453215567,32,0.226968739008299,0.0375327161637218,32,1.87692963888608,0.0680020037085099,32,0.872655881230762,0.949354396834963,32,0.198061044175676,2.96755726782604
33,-0.140338425388432,0.143013520473571,33,0.227000737689881,0.0376918967608208,33,1.87666409873033,0.0677896323513914,33,0.861312715610798,0.952276655107726,33,0.0354022457524085,2.99914907293004
34,-1.11829948058306,1.04038133270387,34,0.226806498164242,0.0378063140086961,34,1.87751103101515,0.0678285475494678,34,0.963509427216955,0.931525846025185,34,0.150804554042654,3.0214028946945
35,-0.208084896114349,0.193150877295599,35,0.226987539524148,0.0375042078102246,35,1.877001794918,0.0683177957417453,35,0.897793061610267,0.946068567881157,35,0.129983657823884,3.00208034722911
39,-0.165687236543478,0.173083162240626,39,0.226916052658468,0.0376292244952674,39,1.87660491236861,0.0684321948150361,39,0.864143875878879,0.950673948547301,39,-0.0742826530404782,3.01371006035585
40,-0.452515385274011,0.511996846485535,40,0.226403194687762,0.0357979849186851,40,1.87919881579242,0.0661694810242738,40,0.878569115377153,0.957323803493151,40,-3.28064227248537,3.17477426317233
