"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_A",1.78201330378177,0.614167132974162,2.90151199585071,0.0037136656053347,0.73126869261289,2.4368789772942,0.0148146366063642
"asc_B",0,NA,NA,NA,NA,NA,NA
"mu_Performance_10",0.342830907298424,0.335257284970522,1.02259047802218,0.306501513585973,0.286902152201617,1.19494017269519,0.232110405746613
"mu_Performance_50",2.33991283127914,0.484848412275966,4.82607093688347,1.3925292632333e-06,0.380050584649148,6.15684576156955,7.42080619176022e-10
"mu_Emissions_40",1.15069343873471,0.416090242425073,2.76549008221917,0.00568373333703942,0.406551739984362,2.83037391201171,0.00464936329029197
"mu_Emissions_90",0.368438711193024,0.407176656759711,0.904862066811585,0.365538465237299,0.280907359597737,1.31160220124041,0.189654389936473
"mu_Price",-1.15097264388781,0.178566006365116,-6.44564252355176,1.1511169795142e-10,0.183660422935277,-6.26685175549996,3.68420627339106e-10
"sig_Performance_10",1.2153860285373,0.265630756700165,4.57547177004502,4.75148037026862e-06,0.224133866851273,5.4225898370985,5.87416753017322e-08
"sig_Performance_50",1.2941124734476,0.32687678029307,3.95902233339221,7.52571999833584e-05,0.174601845825662,7.4117914809432,1.24567023362943e-13
"sig_Emissions_40",0.920933727704683,0.276182559624467,3.33451079951211,0.000854495822724122,0.221502856505112,4.1576607283321,3.21523051258765e-05
"sig_Emissions_90",3.22289440342709,0.419049446207875,7.69096447350591,1.46549439250521e-14,0.290279495976825,11.1027283983034,0
"sig_Price",-1.90884122745155,0.253252047544154,-7.53731804327758,4.79616346638068e-14,0.280994770642792,-6.79315569853831,1.09707798401359e-11
"Experts_Performance_10_Int",-0.0243842142375944,0.0575412808527705,-0.423769055471423,0.671734247821916,0.0540104492397967,-0.451472161050409,0.651649284987679
"Experts_Performance_50_Int",0.0200414480395284,0.0613998055455838,0.326408982267043,0.744114942500003,0.0605821832782088,0.330814225487598,0.740784814953545
"Experts_Emissions_40_Int",0.29952610889886,0.065929876236746,4.54310133729508,5.54325866031213e-06,0.0688779873062846,4.34864781351604,1.36979480900301e-05
"Experts_Emissions_90_Int",0.35887999952906,0.0668090015203207,5.37173122427076,7.79842872500325e-08,0.0626941926059831,5.72429414291253,1.03864661316067e-08
"b_Order",0.0253553301730837,0.182590470919678,0.13886447658179,0.889557242519285,0.206060794406793,0.123047813370207,0.902069236022114
"b_Gender",-0.0618459321596261,0.188702702219317,-0.327742694896581,0.74310621888591,0.22618809079578,-0.273427004675792,0.784524996663731
"b_Age",-0.00967460858155889,0.00706689272221567,-1.36900459110488,0.170997839793795,0.00842528513507615,-1.14828263096777,0.250851907013539
"b_Distance",0.00544751887225292,0.00478632684670946,1.13814184587039,0.255061257143713,0.00533288063816442,1.02149649352136,0.30701926955118
"b_Knowledge",0.191327403039466,0.100741664695041,1.89918842038833,0.0575397066928276,0.121793075824088,1.5709218421892,0.116200804399686
"b_Charity",0.156953842246957,0.157099845919009,0.999070631347869,0.317760476871515,0.180287794502893,0.870573865966499,0.383986871140082
"b_Education",0.108351752348676,0.0883330469236415,1.22662758867969,0.219962594996432,0.103437031411423,1.04751413367332,0.294862517008353
"b_Income",0.158089414424651,0.18695523596593,0.845600357796132,0.397775725888183,0.217441918736943,0.727042031927174,0.467200207709094
"b_Cons",-0.35457518411028,0.122835382917038,-2.88658834034618,0.00389443402308642,0.141889609312396,-2.49895102135081,0.0124561525313571
"b_BP",0.0818196372879967,0.157936036375218,0.51805553163062,0.604419524976642,0.197901861243278,0.413435410733288,0.679287635141134
"b_Understanding",-0.0785081632597564,0.0526971629496505,-1.48979866970765,0.136277181028831,0.0618297633112848,-1.26974710972939,0.204174726072104
"b_Certainty",0.0271596973591149,0.160890313612524,0.168808778784061,0.865947052956967,0.185202417637466,0.14664871930711,0.883409296915129
"b_Q13",-0.157628308865754,0.12678398762221,-1.24328246667437,0.213763762903025,0.13071259728384,-1.20591520741851,0.227850186334961
"b_Q14",-0.228694276063486,0.132901431746568,-1.72078113123406,0.0852905476227903,0.150248660779142,-1.52210525456633,0.127982709600546
"b_Q15",-0.378132182677461,0.101037237710512,-3.7425031725518,0.000182196231856002,0.108472177750916,-3.48598313888159,0.000490331909456021
